index;INCDTNO;YEAR4;MONTH;DAY;ACCDMG;INFRASTRUCTURE_DMG;TRKDMG;EQPDMG;LOCOMOTIVES1;LOCOMOTIVES2;RREMPKLD;RREMPINJ;PASSKLD;PASSINJ;OTHERKLD;OTHERINJ;SPEED;LOADF1;LOADF2;EMPTYF1;EMPTYP1;LOADP1;EMPTYF2;TONS;TYPE;TYPEQ;TRKCLAS;TYPTRK;ACCAUSE;TEMP;TEMP_CLUSTER;VISIBLTY;WEATHER;STATE;Jahreszeit;ACCIDENT_TYPE;ACCCAUSE_LVL1;ACCCAUSE_LVL2;EQUIPMENT_TYPE;ACCDMG_EUR;ACCTYPE;SPD_TOO_HIGH
1267;021291101;1991;12;5;260300.0;260300.0;34200.0;226100.0;8;4;0;2;0;0;0;0;20.875319263030633;101;6;69;0;0;0;16731.0;04;7;X;Depot;H401;40;Moderat (0° bis 19,99° C);Abend;Klar;New Mexico;Herbst;Kollision;Main Track Authority;Human Factors;Depot/Rangieren, Güterzug;220799.0499618288;Signifikant;True
1268;021292116;1992;12;13;12500.0;12500.0;0.0;12500.0;3;0;0;0;0;0;0;0;5.5;43;1;0;0;0;0;3008.0;04;7;1;Depot;H306;28;Kalt (-30° - 0,01° C);Abend;Nebel;New Mexico;Herbst;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Güterzug;10603.104589023666;Nicht Signifikant;False
1269;0212HO019;2012;2;15;20899.0;20899.0;0.0;20899.0;1;0;0;0;0;0;0;0;2.0;1;1;8;0;0;1;646.0;05;7;1;Depot;H018;65;Moderat (0° bis 19,99° C);Abend;Nebel;Texas;Winter;Kollision;Brakes, Use of;Human Factors;Depot/Rangieren, EinzelneWagen;15963.183623586925;Nicht Signifikant;False
1270;0212PR009;2012;2;8;82013.0;82013.0;20735.0;61278.0;1;0;0;0;0;0;0;0;6.920452597546157;39;1;172;0;0;13;10558.0;01;7;1;Depot;T222;38;Moderat (0° bis 19,99° C);Tag;Klar;Illinois;Winter;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;Depot/Rangieren, EinzelneWagen, EinzelneWagen;61784.69187886093;Nicht Signifikant;False
1271;0212PR031;2012;2;28;112145.0;112145.0;810.0;111335.0;1;0;0;0;0;0;0;0;9.926406551346263;111;1;0;0;0;0;5638.0;01;7;1;Depot;H601;25;Kalt (-30° - 0,01° C);Abend;Wolkig;Illinois;Winter;Entgleisung;Speed;Human Factors;Depot/Rangieren, EinzelneWagen;83354.39274565186;Nicht Signifikant;False
1272;021342;2005;6;20;234500.0;234500.0;0.0;234500.0;4;1;0;0;0;0;0;0;23.86138636621728;20;1;0;0;0;0;3224.0;03;1;3;Hauptstrecke;H222;72;Warm (20° bis 31,99° C);Tag;Klar;Pennsylvania;Frühling;Kollision;Flagging, Fixed, Hand and Radio Signals;Human Factors;Güterzug, Güterzug;192055.69205569205;Signifikant;False
1273;021389;2005;6;25;27920.0;27920.0;0.0;27920.0;2;0;0;0;0;0;0;0;7.935695149221832;30;0;21;0;0;0;3392.647398120594;05;5;1;Industriestrecke;H306;83;Warm (20° bis 31,99° C);Tag;Regen;South Carolina;Sommer;Kollision;General Switching Rules;Human Factors;EinzelneWagen, Güterzug;23056.595463554288;Nicht Signifikant;False
1274;0213HO022;2013;2;16;122953.0;122953.0;0.0;122953.0;4;0;0;0;0;0;0;0;8.931050850284048;140;2;57;0;0;6;19870.0;05;7;1;Depot;E39C;40;Moderat (0° bis 19,99° C);Abend;Klar;Texas;Winter;Kollision;Coupler and Draft System;Mechanical and Electrical Failures;Depot/Rangieren, EinzelneWagen;92210.13949302536;Nicht Signifikant;False
1275;0213HO028;2013;2;14;15047.0;15047.0;0.0;15047.0;3;0;0;0;0;0;0;0;24.856742067279495;16;0;101;0;0;0;5251.336383802324;03;1;4;Hauptstrecke;H993;65;Moderat (0° bis 19,99° C);Tag;Wolkig;Texas;Winter;Kollision;Miscellaneous;Human Factors;Güterzug, Wartungszug;11290.613041194567;Nicht Signifikant;False
1276;0213LA002;2013;2;1;134124.0;134124.0;83719.0;50405.0;3;0;0;0;0;0;0;0;7.903542723832748;6;1;47;0;0;13;2501.0;01;7;1;Depot;T207;70;Warm (20° bis 31,99° C);Abend;Klar;Kalifornien;Winter;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;Depot/Rangieren, EinzelneWagen, EinzelneWagen, EinzelneWagen;98302.55057167985;Nicht Signifikant;False
1277;0213LK001;2013;2;3;59255.0;59255.0;18445.0;40810.0;7;0;0;0;0;0;0;0;6.0;91;0;84;0;0;4;12171.0;04;1;1;Depot;H306;38;Moderat (0° bis 19,99° C);Abend;Klar;Louisiana;Winter;Kollision;General Switching Rules;Human Factors;Güterzug, Güterzug;43625.45401001276;Nicht Signifikant;False
1278;0213LK018;2013;2;22;21217.0;21217.0;20735.0;482.0;2;0;0;0;0;0;0;0;1.9635609428485408;0;0;2;0;0;2;74.0;01;7;1;Depot;S011;35;Moderat (0° bis 19,99° C);Abend;Wolkig;Arkansas;Winter;Entgleisung;SIGNAL AND COMMUNICATION;Signal and Communication;Depot/Rangieren, EinzelneWagen;16090.550583952678;Nicht Signifikant;False
1279;0213LV012;2013;2;25;12922.0;12922.0;66.0;12856.0;1;0;0;0;0;0;0;0;5.0;3;0;0;0;0;0;388.0;05;5;1;Depot;S006;65;Moderat (0° bis 19,99° C);Abenddämmerung;Regen;Louisiana;Winter;Kollision;SIGNAL AND COMMUNICATION;Signal and Communication;EinzelneWagen, Güterzug;9712.868310282622;Nicht Signifikant;False
1280;021409;2009;2;14;27000.0;27000.0;0.0;27000.0;1;0;0;0;0;0;0;0;3.0;16;0;1;0;0;0;1920.345149861795;04;7;X;Industriestrecke;H020;74;Warm (20° bis 31,99° C);Tag;Klar;Texas;Winter;Kollision;Brakes, Use of;Human Factors;Depot/Rangieren, EinzelneWagen;21087.70924995444;Nicht Signifikant;False
1281;021442;2005;6;30;79165.0;79165.0;8800.0;70365.0;1;0;0;0;0;0;0;0;4.932837394713583;46;4;5;0;0;2;5571.139733404907;04;7;1;Depot;H306;80;Warm (20° bis 31,99° C);Abend;Klar;Louisiana;Sommer;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, EinzelneWagen, EinzelneWagen;65468.90506119748;Nicht Signifikant;False
1282;0214LA001;2014;2;1;49609.0;49609.0;300.0;49309.0;4;0;0;1;0;0;0;0;8.5;98;1;2;0;0;0;9693.0;04;7;1;Depot;H307;65;Moderat (0° bis 19,99° C);Morgendämmerung;Klar;Kalifornien;Winter;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;36720.20725388601;Signifikant;False
1283;0214LK007;2014;2;9;70943.0;70943.0;3547.0;67396.0;2;1;0;0;0;0;0;0;2.5;51;1;2;0;0;0;6206.0;01;7;1;Depot;H602;31;Kalt (-30° - 0,01° C);Abend;Wolkig;Arkansas;Winter;Entgleisung;Speed;Human Factors;Depot/Rangieren, Depot/Rangieren;52100.12239902081;Nicht Signifikant;False
1284;0214WH012;2014;2;24;17481.0;17481.0;3240.0;14241.0;3;0;0;0;0;0;0;0;7.914260198962443;21;2;40;0;0;1;4514.0;01;7;2;Depot;T222;48;Moderat (0° bis 19,99° C);Tag;Klar;Oklahoma;Winter;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;Depot/Rangieren, EinzelneWagen, EinzelneWagen;12727.338915180197;Nicht Signifikant;False
1285;0215071;2007;2;15;45000.0;45000.0;0.0;45000.0;2;0;0;0;0;0;0;0;10.0;10;1;9;0;0;4;1506.9010638495927;04;1;1;Depot;H702;40;Moderat (0° bis 19,99° C);Abend;Klar;Kalifornien;Winter;Kollision;Switches, Use of;Human Factors;Güterzug, Güterzug;34254.395980817535;Nicht Signifikant;False
1286;021510;2005;6;17;13400.0;13400.0;0.0;13400.0;2;0;0;0;0;0;0;0;3.5;10;2;18;0;0;1;1796.0876928880816;04;7;X;Depot;M408;55;Moderat (0° bis 19,99° C);Abend;Klar;Pennsylvania;Frühling;Kollision;Unusual Operational Situations;Miscellaneous Causes;Depot/Rangieren, EinzelneWagen;11004.352467767101;Nicht Signifikant;False
1287;021590;2005;6;24;17650.0;17650.0;5000.0;12650.0;6;2;0;0;0;0;0;0;7.0;23;4;14;0;0;0;3190.8866183007085;04;7;1;Depot;H017;80;Warm (20° bis 31,99° C);Tag;Klar;Virginia;Sommer;Kollision;Brakes, Use of;Human Factors;Depot/Rangieren, Lokomotive;14608.50852507863;Nicht Signifikant;False
1288;021593;2005;7;13;12500.0;12500.0;12300.0;200.0;2;0;0;0;0;0;0;0;1.9635609428485408;2;1;12;0;0;0;682.2607597708626;01;7;X;Industriestrecke;M599;90;Heiß (>= 32° C);Tag;Klar;Alabama;Sommer;Entgleisung;Other Miscellaneous;Miscellaneous Causes;Depot/Rangieren, EinzelneWagen;10259.356533158241;Nicht Signifikant;False
1289;0215FW023;2015;2;25;96320.0;96320.0;1617.0;94703.0;6;1;0;0;0;0;0;0;6.0;26;0;65;2;0;2;4863.0;04;7;1;Depot;H306;34;Moderat (0° bis 19,99° C);Tag;Schnee;Texas;Winter;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Güterzug;84893.35448616253;Nicht Signifikant;False
1290;0215LV006;2015;2;16;16315.0;16315.0;0.0;16315.0;2;0;0;0;0;0;0;0;1.5;9;0;37;0;0;0;2598.647398120594;05;7;1;Depot;M507;55;Moderat (0° bis 19,99° C);Abend;Wolkig;Texas;Winter;Kollision;Other Miscellaneous;Miscellaneous Causes;Depot/Rangieren, EinzelneWagen;14301.367461430575;Nicht Signifikant;False
1291;0215SL006;2015;2;19;66916.0;66916.0;2178.0;64738.0;5;0;0;0;0;0;0;0;5.944983747097401;76;8;4;0;0;0;5809.0;01;1;1;Depot;T220;-5;Kalt (-30° - 0,01° C);Abend;Wolkig;Illinois;Winter;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;Güterzug, Güterzug;58765.25862826029;Nicht Signifikant;False
1292;021602;2005;7;15;38000.0;38000.0;0.0;38000.0;6;0;0;0;0;0;0;0;6.5;145;0;59;0;0;0;21213.0;05;1;2;Hauptstrecke;H525;75;Warm (20° bis 31,99° C);Abend;Wolkig;Tennessee;Sommer;Kollision;Train Handling/Train Makeup;Human Factors;Güterzug, Güterzug;31475.192578480906;Nicht Signifikant;False
1293;0216CB012;2016;2;20;86302.0;86302.0;57280.0;29022.0;2;0;0;0;0;0;0;0;4.949628046035187;32;4;24;0;0;1;5032.782794013312;01;6;1;Depot;T220;50;Moderat (0° bis 19,99° C);Tag;Klar;Iowa;Winter;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;EinzelneWagen, Güterzug;77941.47751219218;Nicht Signifikant;False
1294;0216CB014;2016;2;21;120177.0;120177.0;57622.0;62555.0;4;0;0;0;0;0;0;0;8.931050850284048;57;8;32;0;0;0;8990.0;01;6;1;Depot;T221;39;Moderat (0° bis 19,99° C);Abend;Klar;Iowa;Winter;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;EinzelneWagen, Güterzug;108764.02799565585;Nicht Signifikant;False
1295;0216HO029;2016;2;24;15132.0;15132.0;66.0;15066.0;2;0;0;0;0;0;0;0;3.5;6;0;0;0;0;0;480.647398120594;05;7;1;Industriestrecke;H318;65;Moderat (0° bis 19,99° C);Tag;Klar;Texas;Winter;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, EinzelneWagen;13780.165740825061;Nicht Signifikant;False
1296;0216ST007;2016;2;15;67493.0;67493.0;99.0;67394.0;4;0;0;0;0;0;0;0;4.0;59;0;15;0;0;0;3012.0;04;7;1;Depot;H306;75;Warm (20° bis 31,99° C);Abenddämmerung;Klar;Texas;Winter;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;60369.40966010733;Nicht Signifikant;False
1297;021706;2006;2;17;45624.0;45624.0;3834.0;87000.0;3;0;0;0;0;0;0;0;36.0;23;2;11;0;3;1;3187.330686403274;01;7;2;Depot;E44C;22;Kalt (-30° - 0,01° C);Abend;Klar;Illinois;Winter;Entgleisung;Truck Components;Mechanical and Electrical Failures;Depot/Rangieren, Nahverkehrszug;38459.07443311136;Nicht Signifikant;True
1298;02172016;2016;2;17;70654.0;70654.0;0.0;70654.0;1;0;0;0;0;0;0;0;2.958916643910756;1;0;2;0;0;0;225.33638380232395;09;7;X;Depot;S016;34;Moderat (0° bis 19,99° C);Tag;Wolkig;Indiana;Winter;Kollision;SIGNAL AND COMMUNICATION;Signal and Communication;Depot/Rangieren, Wartungszug;63446.47988505747;Nicht Signifikant;False
1299;021724;2005;6;28;18827.0;18827.0;700.0;18127.0;2;0;0;0;0;0;0;0;4.949628046035187;9;2;12;0;0;2;1501.1318417122993;05;7;1;Depot;S007;80;Warm (20° bis 31,99° C);Tag;Klar;Virginia;Sommer;Kollision;SIGNAL AND COMMUNICATION;Signal and Communication;Depot/Rangieren, Depot/Rangieren;15565.936337329475;Nicht Signifikant;False
1300;0217FW017;2017;2;8;26129.0;26129.0;1228.0;24901.0;2;0;0;0;0;0;0;0;1.9635609428485408;23;1;24;0;0;4;3379.0;01;7;1;Depot;T210;65;Moderat (0° bis 19,99° C);Tag;Klar;Texas;Winter;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;Depot/Rangieren, EinzelneWagen;24499.765588373182;Nicht Signifikant;False
1301;0217KC004;2017;2;7;50573.0;50573.0;9575.0;40998.0;1;0;0;0;0;0;0;0;1.9635609428485408;0;0;6;0;0;5;250.0;01;7;1;Depot;M411;37;Moderat (0° bis 19,99° C);Tag;Klar;Missouri;Winter;Entgleisung;Unusual Operational Situations;Miscellaneous Causes;Depot/Rangieren, EinzelneWagen;47375.17564402811;Nicht Signifikant;False
1302;0217LK008;2017;2;7;16856.0;16856.0;66.0;16790.0;2;0;0;0;0;0;0;0;5.944983747097401;29;0;66;0;0;2;5986.0;01;6;1;Depot;H307;64;Moderat (0° bis 19,99° C);Abend;Klar;Louisiana;Winter;Entgleisung;General Switching Rules;Human Factors;EinzelneWagen, Güterzug;15790.163934426231;Nicht Signifikant;False
1303;0217NP036;2017;2;24;127671.0;127671.0;44972.0;82699.0;3;0;0;0;0;0;0;0;2.3333333333333335;3;2;0;0;0;0;449.90383723900163;01;7;1;Depot;T106;25;Kalt (-30° - 0,01° C);Tag;Wolkig;Nebraska;Winter;Entgleisung;Track Geometry;Track, Roadbed and Structures;Depot/Rangieren, EinzelneWagen, EinzelneWagen;120342.16231501556;Nicht Signifikant;False
1304;0217RS076;2017;2;28;14475.0;14475.0;1599.0;12876.0;2;0;0;0;0;0;0;0;3.9542723449729715;6;2;0;0;0;0;1120.0;01;7;X;Depot;M507;50;Moderat (0° bis 19,99° C);Abend;Klar;Kalifornien;Winter;Entgleisung;Other Miscellaneous;Miscellaneous Causes;Depot/Rangieren, EinzelneWagen;13659.52628102293;Nicht Signifikant;False
1305;0217SA007;2017;2;3;1004206.0;1004206.0;172036.0;832170.0;6;0;0;0;0;0;0;0;10.0;153;19;31;0;0;3;22422.0;01;1;2;Hauptstrecke;T205;51;Moderat (0° bis 19,99° C);Abend;Klar;Texas;Winter;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;Güterzug, Güterzug;934927.8465692207;Signifikant;False
1306;021936;2005;8;13;56661.0;56661.0;0.0;56661.0;8;0;0;0;0;0;0;0;3.9390297932972955;87;1;174;0;0;4;16526.210484140756;04;6;1;Depot;H702;85;Warm (20° bis 31,99° C);Abend;Wolkig;Virginia;Sommer;Kollision;Switches, Use of;Human Factors;EinzelneWagen, Güterzug, Güterzug;45586.515769148245;Nicht Signifikant;False
1307;0219GC027;2019;2;16;15219.0;15219.0;3231.0;11988.0;2;0;0;0;0;0;0;0;4.949628046035187;16;0;21;0;0;1;2808.0;01;7;1;Depot;E07C;64;Moderat (0° bis 19,99° C);Tag;Wolkig;Louisiana;Winter;Entgleisung;Brakes;Mechanical and Electrical Failures;Depot/Rangieren, EinzelneWagen;13488.832427322148;Nicht Signifikant;False
1308;0220081;2008;2;20;36000.0;36000.0;3000.0;33000.0;1;0;0;0;0;0;0;0;4.949628046035187;3;1;1;0;0;1;462.5877065986554;04;6;1;Depot;H306;60;Moderat (0° bis 19,99° C);Abend;Klar;Kalifornien;Winter;Kollision;General Switching Rules;Human Factors;EinzelneWagen, Güterzug;24563.318777292578;Nicht Signifikant;False
1309;022085;2005;8;28;7600.0;7600.0;800.0;6800.0;3;0;0;0;0;0;0;0;4.0;35;1;70;0;0;0;6202.14756147372;04;7;1;Depot;M408;75;Warm (20° bis 31,99° C);Abend;Klar;Tennessee;Sommer;Kollision;Unusual Operational Situations;Miscellaneous Causes;Depot/Rangieren, Depot/Rangieren;6181.37454249695;Nicht Signifikant;False
1310;022092;2005;8;29;10732.0;10732.0;4619.0;6113.0;5;0;0;0;0;0;0;0;9.926406551346263;51;3;0;0;0;0;3939.8899735913355;04;1;1;Depot;T314;85;Warm (20° bis 31,99° C);Tag;Klar;Illinois;Sommer;Kollision;Frogs, Switches and Track Appliances;Track, Roadbed and Structures;Güterzug, Lokomotive;8733.01326389454;Nicht Signifikant;False
1311;0220CM002;2020;2;3;38917.0;38917.0;2766.0;36151.0;2;1;0;0;0;0;0;0;6.940339448159618;0;0;0;12;0;0;840.0;01;3;1;Depot;H303;34;Moderat (0° bis 19,99° C);Abend;Wolkig;Illinois;Winter;Entgleisung;General Switching Rules;Human Factors;Nahverkehrszug, Nahverkehrszug;35168.08241460329;Nicht Signifikant;False
1312;0220GP002;2020;2;2;76414.0;76414.0;75344.0;1070.0;1;0;0;0;0;0;0;0;17.0;2;2;0;0;0;0;260.0;01;7;1;Depot;S016;67;Moderat (0° bis 19,99° C);Tag;Wolkig;Nebraska;Winter;Entgleisung;SIGNAL AND COMMUNICATION;Signal and Communication;Depot/Rangieren, EinzelneWagen;69082.08775313404;Nicht Signifikant;True
1313;022416;2005;9;25;10200.0;10200.0;1000.0;9200.0;4;0;0;0;0;0;0;0;6.0;11;1;26;0;0;3;2136.767427346247;04;7;1;Depot;M408;75;Warm (20° bis 31,99° C);Abend;Regen;Alabama;Herbst;Kollision;Unusual Operational Situations;Miscellaneous Causes;Depot/Rangieren, Depot/Rangieren;8457.711442786069;Nicht Signifikant;False
1314;022478;2005;10;3;19199.0;19199.0;400.0;18799.0;1;0;0;0;0;0;0;0;5.944983747097401;49;0;24;0;0;8;6386.447871135313;01;7;1;Depot;M503;90;Heiß (>= 32° C);Tag;Wolkig;Illinois;Herbst;Entgleisung;Other Miscellaneous;Miscellaneous Causes;Depot/Rangieren, EinzelneWagen;16088.99689935473;Nicht Signifikant;False
1315;022496;2005;10;1;35050.0;35050.0;50.0;35000.0;3;0;0;0;0;0;0;0;4.0;59;1;42;0;0;0;8079.8262642682475;05;7;1;Depot;M408;77;Warm (20° bis 31,99° C);Tag;Wolkig;Indiana;Herbst;Kollision;Unusual Operational Situations;Miscellaneous Causes;Depot/Rangieren, Depot/Rangieren;29194.54701946303;Nicht Signifikant;False
1316;022610;2005;10;15;358250.0;358250.0;10000.0;348250.0;7;1;0;0;0;0;0;0;8.5;32;0;175;0;0;15;8212.248415271097;01;7;1;Depot;H524;82;Warm (20° bis 31,99° C);Tag;Klar;Tennessee;Herbst;Entgleisung;Train Handling/Train Makeup;Human Factors;Depot/Rangieren, Güterzug;298375.90227651305;Signifikant;False
1317;022656;2005;10;19;30650.0;30650.0;0.0;30650.0;9;0;0;0;0;0;0;0;5.944983747097401;58;0;75;0;0;0;8951.191335703794;05;7;1;Depot;H702;54;Moderat (0° bis 19,99° C);Abend;Klar;Alabama;Herbst;Kollision;Switches, Use of;Human Factors;Depot/Rangieren, Depot/Rangieren;25648.535564853555;Nicht Signifikant;False
1318;022717;2005;10;21;94700.0;94700.0;6000.0;88700.0;4;2;0;1;0;0;0;0;18.8846078609062;89;5;7;0;0;0;11141.0;02;1;4;Hauptstrecke;H401;50;Moderat (0° bis 19,99° C);Tag;Wolkig;Ohio;Herbst;Kollision;Main Track Authority;Human Factors;Güterzug, Güterzug;78837.82883782884;Signifikant;False
1319;022899;2005;11;8;141600.0;141600.0;500.0;141100.0;3;1;0;0;0;0;0;0;15.0;68;1;0;0;0;0;8874.889973591336;04;1;4;Hauptstrecke;H099;40;Moderat (0° bis 19,99° C);Tag;Wolkig;West Virginia;Herbst;Kollision;Brakes, Use of;Human Factors;Güterzug, Lokomotive;120603.0150753769;Nicht Signifikant;False
1320;023002;2005;11;17;58143.0;58143.0;48346.0;9797.0;3;0;0;0;0;0;0;0;3.9542723449729715;66;7;1;0;0;1;7746.959697928821;01;7;X;Depot;T220;36;Moderat (0° bis 19,99° C);Tag;Wolkig;Ohio;Herbst;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;Depot/Rangieren, EinzelneWagen;49728.87444406431;Nicht Signifikant;False
1321;023189;2005;12;1;10500.0;10500.0;0.0;10500.0;2;0;0;0;0;0;0;0;6.0;18;6;27;0;0;1;2465.0;05;1;1;Depot;H306;55;Moderat (0° bis 19,99° C);Tag;Klar;New Jersey;Herbst;Kollision;General Switching Rules;Human Factors;Güterzug, Güterzug;8939.974457215836;Nicht Signifikant;False
1322;023330;1996;10;31;40776.0;40776.0;0.0;40776.0;0;0;0;2;0;0;0;0;9.901875401795017;0;0;3;0;0;1;197.48918602637877;02;5;6;Hauptstrecke;H104;46;Moderat (0° bis 19,99° C);Abend;Klar;Maryland;Herbst;Kollision;Employee Physical Condition;Human Factors;EinzelneWagen, EinzelneWagen, EinzelneWagen;34588.17541776232;Signifikant;False
1323;023439;2005;12;16;12421.0;12421.0;3363.0;9058.0;3;0;0;0;0;0;0;0;7.0;68;0;104;0;0;5;10979.111650212079;05;7;1;Depot;H020;50;Moderat (0° bis 19,99° C);Abend;Klar;Georgia;Herbst;Kollision;Brakes, Use of;Human Factors;Depot/Rangieren, Depot/Rangieren;10365.517816907286;Nicht Signifikant;False
1324;023451;2005;12;20;11046.0;11046.0;2739.0;8307.0;0;0;0;0;0;0;0;0;4.0;2;2;0;0;0;0;336.5128782368152;05;5;1;Depot;H025;35;Moderat (0° bis 19,99° C);Abend;Klar;Virginia;Herbst;Kollision;Brakes, Use of;Human Factors;EinzelneWagen, EinzelneWagen;9239.648682559598;Nicht Signifikant;False
1325;023491;2005;12;21;33250.0;33250.0;150.0;33100.0;3;1;0;0;0;0;0;0;4.5;35;0;3;0;0;0;3684.8899735913355;05;1;X;Depot;H017;30;Kalt (-30° - 0,01° C);Tag;Klar;Virginia;Winter;Kollision;Brakes, Use of;Human Factors;Güterzug, Lokomotive;28007.075471698114;Nicht Signifikant;False
1326;023515;1996;11;23;3856400.0;3856400.0;880302.0;2976100.0;3;2;0;4;0;13;0;0;70.0;0;0;0;0;22;0;1143.4091633058183;01;2;4;Hauptstrecke;M505;40;Moderat (0° bis 19,99° C);Abend;Klar;New Jersey;Herbst;Entgleisung;Other Miscellaneous;Miscellaneous Causes;Personenzug, Personenzug;3271185.002968869;Schwer;False
1327;023527;2005;12;23;27400.0;27400.0;0.0;27400.0;2;0;0;0;0;0;0;0;16.89389645878177;130;0;15;0;0;2;17925.546195994975;05;6;1;Industriestrecke;H022;36;Moderat (0° bis 19,99° C);Abend;Wolkig;Pennsylvania;Winter;Kollision;Brakes, Use of;Human Factors;EinzelneWagen, Güterzug;23104.814908508306;Nicht Signifikant;True
1328;023695;2006;1;7;8503.0;8503.0;0.0;8503.0;7;0;0;0;0;0;0;0;4.949628046035187;200;5;0;0;0;0;28215.0;01;1;1;Depot;T210;43;Moderat (0° bis 19,99° C);Abend;Klar;North Carolina;Winter;Entgleisung;Rail, Joint Bar and Rail Anchoring;Track, Roadbed and Structures;Güterzug, Güterzug;7034.248841826604;Nicht Signifikant;False
1329;023870;2006;1;18;10307.0;10307.0;250.0;10057.0;2;0;0;0;0;0;0;0;5.0;44;0;33;0;0;2;6082.7982326714755;05;7;1;Depot;H306;25;Kalt (-30° - 0,01° C);Tag;Schnee;Ohio;Winter;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;8500.61855670103;Nicht Signifikant;False
1330;023892;2006;1;20;10300.0;10300.0;0.0;8800.0;1;0;0;0;0;0;0;0;3.0;9;3;5;0;0;0;2008.2564391184076;05;5;X;Nebenstrecke;H020;58;Moderat (0° bis 19,99° C);Tag;Klar;Maryland;Winter;Kollision;Brakes, Use of;Human Factors;EinzelneWagen, Güterzug;8534.968511766654;Nicht Signifikant;False
1331;023913;2006;1;18;2534100.0;2534100.0;89000.0;2445100.0;5;3;0;3;0;0;0;0;52.726701697021525;95;14;9;0;0;0;9629.0;03;1;2;Nebenstrecke;H605;53;Moderat (0° bis 19,99° C);Tag;Klar;Alabama;Winter;Kollision;Speed;Human Factors;Güterzug, Güterzug;2089979.3814432991;Schwer;True
1332;024015;2006;1;26;75500.0;75500.0;500.0;75000.0;1;0;0;0;0;0;0;0;6.940339448159618;108;3;65;0;0;2;14396.385652289087;05;7;1;Depot;H702;58;Moderat (0° bis 19,99° C);Abend;Klar;Alabama;Winter;Kollision;Switches, Use of;Human Factors;Depot/Rangieren, EinzelneWagen;61612.534682552636;Nicht Signifikant;False
1333;024052;2006;1;27;29200.0;29200.0;200.0;29000.0;4;1;0;0;0;0;0;0;7.0;79;0;9;0;0;0;9330.634176892985;05;7;1;Depot;H607;57;Moderat (0° bis 19,99° C);Abend;Klar;Georgia;Winter;Kollision;Speed;Human Factors;Depot/Rangieren, Depot/Rangieren;23989.484061781135;Nicht Signifikant;False
1334;024130;2006;2;5;17950.0;17950.0;0.0;17950.0;3;0;0;0;0;0;0;0;1.9635609428485408;67;2;35;0;0;0;8796.36983002321;04;7;1;Depot;H306;58;Moderat (0° bis 19,99° C);Tag;Klar;Louisiana;Winter;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;14948.78272214974;Nicht Signifikant;False
1335;024153;2006;2;9;27000.0;27000.0;7000.0;20000.0;1;0;0;0;0;0;0;0;3.0;15;1;0;0;0;0;2413.256439118408;04;5;1;Depot;H020;24;Kalt (-30° - 0,01° C);Abend;Klar;New York;Winter;Kollision;Brakes, Use of;Human Factors;EinzelneWagen, Güterzug;22552.622786501837;Nicht Signifikant;False
1336;024189;2006;2;12;332673.0;332673.0;80200.0;252473.0;2;0;0;0;0;0;0;0;9.88225048215402;42;6;54;0;0;9;6727.342407140452;06;7;1;Depot;E39C;42;Moderat (0° bis 19,99° C);Tag;Wolkig;Georgia;Winter;Kollision;Coupler and Draft System;Mechanical and Electrical Failures;Depot/Rangieren, EinzelneWagen, EinzelneWagen, EinzelneWagen, EinzelneWagen;279197.3927152688;Signifikant;False
1337;024301;2006;1;8;56450.0;56450.0;5000.0;51450.0;7;2;0;0;0;0;0;0;5.926644996129869;56;0;88;0;0;7;9226.928437767841;05;7;1;Depot;H020;32;Moderat (0° bis 19,99° C);Abend;Klar;Ohio;Winter;Kollision;Brakes, Use of;Human Factors;Depot/Rangieren, Güterzug, Lokomotive;46718.53016634941;Nicht Signifikant;False
1338;024688;2006;3;25;10545.0;10545.0;0.0;10545.0;3;0;0;0;0;0;0;0;9.0;30;0;51;0;0;0;5459.889973591336;04;1;3;Depot;H401;46;Moderat (0° bis 19,99° C);Abend;Klar;Georgia;Frühling;Kollision;Main Track Authority;Human Factors;Güterzug, Lokomotive;8796.54088924728;Nicht Signifikant;False
