index;INCDTNO;YEAR4;MONTH;DAY;ACCDMG;INFRASTRUCTURE_DMG;TRKDMG;EQPDMG;LOCOMOTIVES1;LOCOMOTIVES2;RREMPKLD;RREMPINJ;PASSKLD;PASSINJ;OTHERKLD;OTHERINJ;SPEED;LOADF1;LOADF2;EMPTYF1;EMPTYP1;LOADP1;EMPTYF2;TONS;TYPE;TYPEQ;TRKCLAS;TYPTRK;ACCAUSE;TEMP;TEMP_CLUSTER;VISIBLTY;WEATHER;STATE;Jahreszeit;ACCIDENT_TYPE;ACCCAUSE_LVL1;ACCCAUSE_LVL2;EQUIPMENT_TYPE;ACCDMG_EUR;ACCTYPE;SPD_TOO_HIGH
15;000005304;2004;7;29;55777.0;55777.0;100.0;55677.0;4;3;0;3;0;0;0;0;21.870674964092846;95;1;0;0;0;0;10927.889973591336;02;1;2;Depot;H702;70;Warm (20° bis 31,99° C);Abend;Klar;South Carolina;Sommer;Kollision;Switches, Use of;Human Factors;Güterzug, Lokomotive;46380.34259105272;Signifikant;False
16;000005462;2004;8;3;11870.0;11870.0;800.0;11070.0;3;0;0;0;0;0;0;0;4.5;52;0;63;0;0;0;8302.889973591336;04;7;1;Depot;H306;77;Warm (20° bis 31,99° C);Abend;Klar;Alabama;Sommer;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Güterzug;9873.565130593912;Nicht Signifikant;False
17;000005494;2004;8;5;69127.0;69127.0;500.0;68627.0;2;0;0;0;0;0;0;0;7.935695149221832;29;0;5;0;0;1;3874.8164184217308;05;5;3;Hauptstrecke;H302;85;Warm (20° bis 31,99° C);Tag;Klar;Virginia;Sommer;Kollision;General Switching Rules;Human Factors;EinzelneWagen, Güterzug;57404.91612688923;Nicht Signifikant;False
18;000006638;2004;9;22;20997.0;20997.0;0.0;20997.0;3;0;0;0;0;0;0;0;4.0;93;0;28;0;0;0;11168.862845750953;04;7;1;Depot;H702;75;Warm (20° bis 31,99° C);Tag;Klar;New York;Sommer;Kollision;Switches, Use of;Human Factors;Depot/Rangieren, Güterzug;17147.407104940794;Nicht Signifikant;False
19;000006884;2004;10;1;13570.0;13570.0;0.0;13570.0;5;0;0;0;0;0;0;0;30.0;123;0;67;0;0;4;16772.0;01;1;4;Hauptstrecke;H504;62;Moderat (0° bis 19,99° C);Abend;Wolkig;Ohio;Herbst;Entgleisung;Train Handling/Train Makeup;Human Factors;Güterzug, Güterzug;10932.087327801497;Nicht Signifikant;False
20;000007038;2004;10;10;999500.0;999500.0;20000.0;979500.0;4;2;0;2;0;0;0;0;17.5;76;0;74;0;0;4;9845.0;04;1;2;Hauptstrecke;H221;78;Warm (20° bis 31,99° C);Tag;Klar;Maryland;Herbst;Kollision;Flagging, Fixed, Hand and Radio Signals;Human Factors;Güterzug, Güterzug;808242.8097792392;Signifikant;False
21;000007083;2004;10;6;34650.0;34650.0;2000.0;32650.0;4;0;0;0;0;0;0;0;7.935695149221832;115;8;44;0;0;0;12454.0;01;1;1;Hauptstrecke;E4BC;65;Moderat (0° bis 19,99° C);Tag;Klar;Kentucky;Herbst;Entgleisung;Truck Components;Mechanical and Electrical Failures;Güterzug, Güterzug;28212.017586712263;Nicht Signifikant;False
22;000007120;2004;10;13;111892.0;111892.0;2008.0;109884.0;2;0;0;0;0;0;0;0;5.5;5;2;0;0;0;0;677.7851518245906;04;7;1;Depot;H702;65;Moderat (0° bis 19,99° C);Abend;Wolkig;Georgia;Herbst;Kollision;Switches, Use of;Human Factors;Depot/Rangieren, Depot/Rangieren;91213.82571125786;Nicht Signifikant;False
23;000007494;2004;10;14;34700.0;34700.0;200.0;34500.0;2;0;0;0;0;0;0;0;4.949628046035187;1;0;1;0;0;1;215.46381654232488;04;7;1;Depot;H702;70;Warm (20° bis 31,99° C);Tag;Klar;Georgia;Herbst;Kollision;Switches, Use of;Human Factors;Depot/Rangieren, Depot/Rangieren;28035.8729902238;Nicht Signifikant;False
24;000007521;2004;10;29;13537.0;13537.0;0.0;13537.0;3;0;0;0;0;0;0;0;3.9542723449729715;26;0;18;0;0;0;3575.508368741183;04;7;1;Depot;H307;50;Moderat (0° bis 19,99° C);Abend;Wolkig;Georgia;Herbst;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;10628.09138729685;Nicht Signifikant;False
25;000007553;2004;10;30;982670.0;982670.0;256500.0;726170.0;7;0;0;0;0;0;0;0;19.5;76;7;123;0;0;20;12211.0;01;1;3;Hauptstrecke;M405;45;Moderat (0° bis 19,99° C);Abend;Klar;New York;Herbst;Entgleisung;Unusual Operational Situations;Miscellaneous Causes;Güterzug, Güterzug;771286.1702684318;Signifikant;False
26;000008253;2004;11;29;817777.0;817777.0;105000.0;712777.0;4;1;1;2;0;0;0;0;32.819587675777214;159;6;38;0;0;9;19884.0;02;1;4;Hauptstrecke;H221;49;Moderat (0° bis 19,99° C);Abend;Nebel;Florida;Herbst;Kollision;Flagging, Fixed, Hand and Radio Signals;Human Factors;Güterzug, Güterzug;617329.9615007171;Schwer;False
27;000008610;2004;12;6;10192.0;10192.0;0.0;10192.0;3;0;0;0;0;0;0;0;2.0;94;0;106;0;0;0;15096.916616593928;04;7;1;Depot;H607;50;Moderat (0° bis 19,99° C);Abend;Regen;Alabama;Herbst;Kollision;Speed;Human Factors;Depot/Rangieren, Güterzug;7586.155563825829;Nicht Signifikant;False
28;000008633;2004;12;8;11394.0;11394.0;1000.0;10394.0;4;1;0;0;0;0;0;0;3.0;53;4;16;0;0;0;1325.8899735913355;04;1;1;Depot;H307;50;Moderat (0° bis 19,99° C);Abend;Klar;North Carolina;Herbst;Kollision;General Switching Rules;Human Factors;Güterzug, Lokomotive;8566.917293233082;Nicht Signifikant;False
29;000008742;2004;12;1;24926.0;24926.0;0.0;24926.0;3;0;0;0;0;0;0;0;4.0;30;0;8;0;0;0;3726.0739647483324;04;7;1;Depot;H306;40;Moderat (0° bis 19,99° C);Abend;Wolkig;Maryland;Herbst;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;18749.811945238456;Nicht Signifikant;False
30;000008894;2004;12;20;18853.0;18853.0;0.0;18853.0;4;0;0;0;0;0;0;0;7.0;0;0;0;0;0;0;69.7799471826711;04;8;1;Nebenstrecke;H306;25;Kalt (-30° - 0,01° C);Tag;Klar;Tennessee;Herbst;Kollision;General Switching Rules;Human Factors;Lokomotive, Lokomotive;14092.539991030048;Nicht Signifikant;False
31;000008906;2004;12;8;39633.0;39633.0;0.0;39633.0;10;0;0;0;0;0;0;0;5.0;98;0;97;0;0;1;16892.0;01;1;1;Depot;H510;40;Moderat (0° bis 19,99° C);Abenddämmerung;Klar;New York;Herbst;Entgleisung;Train Handling/Train Makeup;Human Factors;Güterzug, Güterzug;29799.248120300752;Nicht Signifikant;False
32;000009307;2005;1;7;98737.0;98737.0;0.0;98737.0;4;0;0;0;0;0;0;0;2.5;24;0;56;0;0;0;4504.957107700226;04;7;1;Depot;H306;38;Moderat (0° bis 19,99° C);Tag;Regen;Kentucky;Winter;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;74800.75757575757;Nicht Signifikant;False
33;000009398;2005;1;11;155500.0;155500.0;500.0;155000.0;11;1;0;0;0;0;0;0;3.9542723449729715;113;0;45;0;0;0;12293.0;02;1;1;Nebenstrecke;H702;47;Moderat (0° bis 19,99° C);Abend;Nebel;Alabama;Winter;Kollision;Switches, Use of;Human Factors;Güterzug, Güterzug;118313.93137031118;Nicht Signifikant;False
34;000009644;2004;12;15;12300.0;12300.0;0.0;12300.0;2;0;0;0;0;0;0;0;6.0;1;0;24;0;0;3;918.6913206338722;04;7;1;Industriestrecke;H306;28;Kalt (-30° - 0,01° C);Abend;Klar;South Carolina;Herbst;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Güterzug;9190.764402600313;Nicht Signifikant;False
35;000009919;2004;9;22;14000.0;14000.0;0.0;14000.0;2;0;0;0;0;0;0;0;5.0;20;0;25;0;0;0;3106.088693042551;04;7;1;Depot;H307;71;Warm (20° bis 31,99° C);Abend;Klar;Georgia;Sommer;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;11433.238056349532;Nicht Signifikant;False
36;000010046;2005;2;1;183926.0;183926.0;1000.0;182926.0;4;0;0;0;0;0;0;0;23.86138636621728;102;3;13;0;0;1;12395.0;03;1;4;Hauptstrecke;H605;15;Kalt (-30° - 0,01° C);Tag;Nebel;Ohio;Winter;Kollision;Speed;Human Factors;Güterzug, Güterzug;141188.30122054197;Nicht Signifikant;False
37;000010343;2005;2;17;70882.0;70882.0;100.0;70782.0;3;0;0;0;0;0;0;0;5.5;46;0;40;0;0;0;5885.345033087759;04;7;1;Depot;H307;55;Moderat (0° bis 19,99° C);Abend;Klar;South Carolina;Winter;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Güterzug;54353.193773483625;Nicht Signifikant;False
38;000010375;2005;2;19;14540.0;14540.0;0.0;14540.0;3;0;0;0;0;0;0;0;2.5;19;0;14;0;0;0;2657.42075619242;04;7;1;Depot;H607;27;Kalt (-30° - 0,01° C);Abenddämmerung;Klar;Illinois;Winter;Kollision;Speed;Human Factors;Depot/Rangieren, Lokomotive;11146.602611606571;Nicht Signifikant;False
39;000010401;2005;2;21;14883.0;14883.0;500.0;14383.0;3;1;0;0;0;0;0;0;8.0;115;1;57;0;0;2;10346.696813285722;04;7;1;Depot;H401;70;Warm (20° bis 31,99° C);Tag;Wolkig;Georgia;Winter;Kollision;Main Track Authority;Human Factors;Depot/Rangieren, Güterzug;11400.229797012638;Nicht Signifikant;False
40;000010728;2005;3;6;27261.0;27261.0;400.0;26861.0;2;0;0;0;0;0;0;0;7.935695149221832;63;0;74;0;0;0;9489.532048139097;04;7;1;Depot;H301;60;Moderat (0° bis 19,99° C);Tag;Klar;North Carolina;Winter;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;20699.840542661164;Nicht Signifikant;False
41;000010783;2005;3;7;65510.0;65510.0;100.0;65410.0;1;0;0;0;0;0;0;0;3.9695148966486475;23;0;83;0;0;0;5248.14273245899;04;7;1;Depot;H018;42;Moderat (0° bis 19,99° C);Tag;Klar;New York;Winter;Kollision;Brakes, Use of;Human Factors;Depot/Rangieren, EinzelneWagen, EinzelneWagen;49640.069712813514;Nicht Signifikant;False
42;000010881;2005;3;10;38533.0;38533.0;0.0;38533.0;2;0;0;0;0;0;0;0;5.944983747097401;0;0;1;0;0;0;100.22635739365951;04;5;1;Depot;H307;16;Kalt (-30° - 0,01° C);Abend;Klar;New York;Winter;Kollision;General Switching Rules;Human Factors;EinzelneWagen, Lokomotive;28736.669401148483;Nicht Signifikant;False
43;000010882;2005;3;10;13874.0;13874.0;1200.0;12674.0;8;3;0;1;0;0;0;0;8.931050850284048;0;0;0;0;0;0;69.7799471826711;04;8;1;Depot;H307;32;Moderat (0° bis 19,99° C);Abend;Klar;Indiana;Winter;Kollision;General Switching Rules;Human Factors;Lokomotive, Lokomotive;10346.782012081438;Signifikant;False
44;000010883;2005;3;11;17078.0;17078.0;0.0;17078.0;2;0;0;0;0;0;0;0;2.5;46;2;2;0;0;0;5402.732377946165;04;7;1;Depot;H306;40;Moderat (0° bis 19,99° C);Abend;Klar;Georgia;Winter;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;12729.576624925463;Nicht Signifikant;False
45;000010909;2005;3;11;6837.0;6837.0;1000.0;5837.0;1;0;0;0;0;0;0;0;4.0;13;0;17;0;0;0;2066.2154396498345;05;7;1;Depot;M105;50;Moderat (0° bis 19,99° C);Tag;Wolkig;North Carolina;Winter;Kollision;Environmental Conditions;Environmental Conditions;Depot/Rangieren, EinzelneWagen;5096.153846153847;Nicht Signifikant;False
46;000010945;2005;3;8;14721.0;14721.0;0.0;14721.0;3;0;0;0;0;0;0;0;1.9635609428485408;0;0;1;0;0;0;100.22635739365951;05;5;1;Depot;H307;25;Kalt (-30° - 0,01° C);Morgendämmerung;Klar;Indiana;Winter;Kollision;General Switching Rules;Human Factors;EinzelneWagen, Lokomotive;11113.543711309074;Nicht Signifikant;False
47;000011045;2005;3;17;137171.0;137171.0;5000.0;132171.0;4;2;0;0;0;0;0;0;3.0;66;1;42;0;0;2;8879.088305211872;04;7;1;Depot;H306;40;Moderat (0° bis 19,99° C);Abend;Regen;South Carolina;Winter;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Depot/Rangieren;102534.75855882792;Nicht Signifikant;False
48;000011195;2005;3;24;35211.0;35211.0;500.0;34711.0;2;0;0;0;0;0;0;0;4.949628046035187;55;2;48;0;0;2;7830.044137653772;04;7;1;Depot;H018;51;Moderat (0° bis 19,99° C);Abend;Wolkig;North Carolina;Frühling;Kollision;Brakes, Use of;Human Factors;Depot/Rangieren, EinzelneWagen;27122.939454629486;Nicht Signifikant;False
49;000011305;2005;3;29;15158.0;15158.0;100.0;15058.0;2;0;0;0;0;0;0;0;4.0;31;0;22;0;0;3;4270.521236089649;04;7;1;Depot;H706;60;Moderat (0° bis 19,99° C);Tag;Klar;North Carolina;Frühling;Kollision;Switches, Use of;Human Factors;Depot/Rangieren, Depot/Rangieren;11726.752282221878;Nicht Signifikant;False
50;000011401;2005;4;2;41452.0;41452.0;4000.0;37452.0;5;0;0;1;0;0;0;0;7.5;38;3;67;0;0;8;5270.0;01;7;1;Depot;H704;45;Moderat (0° bis 19,99° C);Abend;Regen;Tennessee;Frühling;Entgleisung;Switches, Use of;Human Factors;Depot/Rangieren, Güterzug;32049.689440993785;Signifikant;False
51;000011598;2005;4;11;43680.0;43680.0;15000.0;28680.0;2;1;0;0;0;0;0;0;6.5;0;0;9;0;0;0;343.79763908156684;01;6;1;Depot;H995;60;Moderat (0° bis 19,99° C);Morgendämmerung;Klar;Ohio;Frühling;Entgleisung;Miscellaneous;Human Factors;EinzelneWagen, Lokomotive;33675.12142471668;Nicht Signifikant;False
52;000011863;2005;4;18;24972.0;24972.0;800.0;24172.0;4;1;0;1;0;0;0;0;3.5;9;2;3;0;0;0;1935.4048226498526;04;7;1;Depot;H306;75;Warm (20° bis 31,99° C);Tag;Klar;Florida;Frühling;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, Güterzug;19258.116757923963;Signifikant;False
53;000011867;2005;4;21;220801.0;220801.0;42000.0;178801.0;4;1;0;0;0;0;0;0;5.5;83;6;166;0;0;7;15832.0;04;7;1;Depot;H104;55;Moderat (0° bis 19,99° C);Abend;Klar;Georgia;Frühling;Kollision;Employee Physical Condition;Human Factors;Depot/Rangieren, Güterzug;169092.5103384898;Signifikant;False
54;000011937;2005;4;25;170504.0;170504.0;52000.0;118504.0;4;1;0;0;0;0;0;0;7.935695149221832;77;5;21;0;0;0;8865.889973591336;04;1;1;Depot;H506;38;Moderat (0° bis 19,99° C);Morgendämmerung;Klar;Tennessee;Frühling;Kollision;Train Handling/Train Makeup;Human Factors;Güterzug, Lokomotive;131500.84837266698;Nicht Signifikant;False
55;000012313;2005;5;10;31179.0;31179.0;1600.0;29579.0;2;0;0;0;0;0;0;0;5.944983747097401;71;3;6;0;0;1;8389.5427076388;04;7;1;Depot;H399;75;Warm (20° bis 31,99° C);Tag;Klar;Ohio;Frühling;Kollision;General Switching Rules;Human Factors;Depot/Rangieren, EinzelneWagen;24256.26264197915;Nicht Signifikant;False
56;000012342;2005;5;12;10958.0;10958.0;100.0;10858.0;2;0;0;0;0;0;0;0;6.940339448159618;30;1;0;0;0;0;3502.111724058239;04;6;1;Industriestrecke;H307;61;Moderat (0° bis 19,99° C);Abend;Regen;Ohio;Frühling;Kollision;General Switching Rules;Human Factors;EinzelneWagen, Lokomotive;8580.37741758672;Nicht Signifikant;False
57;000012408;2005;5;15;113944.0;113944.0;4000.0;109944.0;3;0;0;0;0;0;0;0;4.949628046035187;11;1;2;0;0;2;552.8899735913355;01;1;1;Depot;H704;59;Moderat (0° bis 19,99° C);Tag;Klar;Massachusetts;Frühling;Entgleisung;Switches, Use of;Human Factors;Güterzug, Lokomotive;90271.74056566403;Nicht Signifikant;False
